Time (s),Rx (V),Tx (V)
0.00114232,-0.0415486,0.171756
0.00114295,-0.0382522,0.171756
0.00114358,-0.0382522,0.168113
0.00114421,-0.0415486,0.168113
0.00114484,-0.0415486,0.168113
0.00114547,-0.0415486,0.171756
0.0011461,-0.0382522,0.168113
0.00114673,-0.0382522,0.164469
0.00114736,-0.0349557,0.168113
0.00114799,-0.0349557,0.171756
0.00114862,-0.0382522,0.168113
0.00114925,-0.0382522,0.175399
0.00114988,-0.0415486,0.175399
0.00115051,-0.0382522,0.175399
0.00115114,-0.0349557,0.179043
0.00115177,-0.0349557,0.171756
0.0011524,-0.0349557,0.171756
0.00115303,-0.0415486,0.168113
0.00115366,-0.0415486,0.171756
0.00115429,-0.0415486,0.175399
0.00115492,-0.0349557,0.175399
0.00115555,-0.0382522,0.168113
0.00115618,-0.0349557,0.164469
0.00115681,-0.0382522,0.168113
0.00115744,-0.0415486,0.175399
0.00115807,-0.0382522,0.171756
0.0011587,-0.0382522,0.168113
0.00115933,-0.0349557,0.164469
0.00115996,-0.0349557,0.168113
0.00116059,-0.0349557,0.168113
0.00116122,-0.0349557,0.168113
0.00116185,-0.0349557,0.168113
0.00116248,-0.0415486,0.168113
0.00116311,-0.0349557,0.168113
0.00116374,-0.0349557,0.164469
0.00116437,-0.0349557,0.164469
0.001165,-0.0349557,0.164469
0.00116563,-0.0349557,0.164469
0.00116626,-0.0349557,0.171756
0.00116689,-0.0349557,0.171756
0.00116752,-0.0349557,0.168113
0.00116815,-0.0316593,0.168113
0.00116878,-0.0349557,0.168113
0.00116941,-0.0349557,0.171756
0.00117004,-0.0349557,0.168113
0.00117067,-0.0349557,0.168113
0.0011713,-0.0382522,0.168113
0.00117193,-0.0382522,0.171756
0.00117256,-0.0382522,0.175399
0.00117319,-0.0382522,0.168113
0.00117382,-0.0349557,0.171756
0.00117445,-0.0349557,0.168113
0.00117508,-0.0382522,0.171756
0.00117571,-0.0415486,0.168113
0.00117634,-0.0415486,0.171756
0.00117697,-0.0382522,0.168113
0.0011776,-0.0382522,0.168113
0.00117823,-0.0415486,0.168113
0.00117886,-0.0382522,0.164469
0.00117949,-0.0415486,0.164469
0.00118012,-0.0349557,0.168113
0.00118075,-0.0349557,0.168113
0.00118138,-0.0349557,0.160826
0.00118201,-0.0349557,0.164469
0.00118264,-0.0382522,0.168113
0.00118327,-0.0382522,0.168113
0.0011839,-0.0382522,0.171756
0.00118453,-0.0382522,0.168113
0.00118516,-0.0349557,0.171756
0.00118579,-0.0316593,0.175399
0.00118642,-0.0316593,0.168113
0.00118705,-0.0349557,0.168113
0.00118768,-0.0349557,0.171756
0.00118831,-0.0382522,0.171756
0.00118894,-0.0316593,0.171756
0.00118957,-0.0349557,0.168113
0.0011902,-0.0349557,0.168113
0.00119083,-0.0316593,0.164469
0.00119146,-0.0349557,0.171756
0.00119209,-0.0349557,0.168113
0.00119272,-0.0349557,0.168113
0.00119335,-0.0349557,0.168113
0.00119398,-0.0316593,0.168113
0.00119461,-0.0316593,0.171756
0.00119524,-0.0316593,0.171756
0.00119587,-0.0382522,0.168113
0.0011965,-0.0349557,0.175399
0.00119713,-0.0349557,0.179043
0.00119776,-0.0316593,0.175399
0.00119839,-0.0382522,0.171756
0.00119902,-0.0382522,0.168113
0.00119965,-0.0382522,0.168113
0.00120028,-0.0316593,0.168113
0.00120091,-0.0316593,0.175399
0.00120154,-0.0316593,0.171756
0.00120217,-0.0316593,0.168113
0.0012028,-0.0316593,0.171756
0.00120343,-0.0316593,0.168113
0.00120406,-0.0316593,0.171756
0.00120469,-0.0316593,0.168113
0.00120532,-0.0316593,0.168113
0.00120595,-0.0316593,0.164469
0.00120658,-0.0250665,0.171756
0.00120721,-0.0283629,0.175399
0.00120784,-0.0283629,0.175399
0.00120847,-0.0283629,0.171756
0.0012091,-0.0316593,0.168113
0.00120973,-0.0316593,0.164469
0.00121036,-0.0316593,0.168113
0.00121099,-0.0349557,0.168113
0.00121162,-0.0349557,0.168113
0.00121225,-0.0382522,0.168113
0.00121288,-0.0316593,0.168113
0.00121351,-0.0316593,0.175399
0.00121414,-0.0349557,0.179043
0.00121477,-0.0316593,0.175399
0.0012154,-0.0283629,0.168113
0.00121603,-0.0316593,0.171756
0.00121666,-0.0349557,0.175399
0.00121729,-0.0349557,0.171756
0.00121792,-0.0283629,0.171756
0.00121855,-0.0316593,0.171756
0.00121918,-0.0316593,0.171756
0.00121981,-0.0283629,0.168113
0.00122044,-0.0316593,0.164469
0.00122107,-0.0283629,0.168113
0.0012217,-0.0283629,0.175399
0.00122233,-0.0316593,0.175399
0.00122296,-0.0316593,0.171756
0.00122359,-0.0283629,0.168113
0.00122422,-0.0316593,0.168113
0.00122485,-0.0316593,0.171756
0.00122548,-0.0250665,0.168113
0.00122611,-0.0283629,0.168113
0.00122674,-0.0283629,0.168113
0.00122737,-0.0316593,0.164469
0.001228,-0.0316593,0.164469
0.00122863,-0.0316593,0.164469
0.00122926,-0.0250665,0.168113
0.00122989,-0.0250665,0.171756
0.00123052,-0.0283629,0.171756
0.00123115,-0.0250665,0.168113
0.00123178,-0.0283629,0.168113
0.00123241,-0.0283629,0.168113
0.00123304,-0.0283629,0.171756
0.00123367,-0.0283629,0.168113
0.0012343,-0.0283629,0.168113
0.00123493,-0.0316593,0.171756
0.00123556,-0.0316593,0.171756
0.00123619,-0.0316593,0.171756
0.00123682,-0.0316593,0.171756
0.00123745,-0.0283629,0.171756
0.00123808,-0.0316593,0.171756
0.00123871,-0.0316593,0.168113
0.00123934,-0.0283629,0.168113
0.00123997,-0.0250665,0.168113
0.0012406,-0.0283629,0.179043
0.00124123,-0.0283629,0.179043
0.00124186,-0.0283629,0.175399
0.00124249,-0.0250665,0.175399
0.00124312,-0.0217701,0.171756
0.00124375,-0.0283629,0.171756
0.00124438,-0.0250665,0.171756
0.00124501,-0.0250665,0.175399
0.00124564,-0.0250665,0.171756
0.00124627,-0.0217701,0.171756
0.0012469,-0.0217701,0.171756
0.00124753,-0.0283629,0.168113
0.00124816,-0.0250665,0.168113
0.00124879,-0.0217701,0.171756
0.00124942,-0.0217701,0.164469
0.00125005,-0.0217701,0.164469
0.00125068,-0.0250665,0.168113
0.00125131,-0.0250665,0.164469
0.00125194,-0.0250665,0.168113
0.00125257,-0.0217701,0.168113
0.0012532,-0.0250665,0.168113
0.00125383,-0.0283629,0.171756
0.00125446,-0.0283629,0.171756
0.00125509,-0.0283629,0.168113
0.00125572,-0.0283629,0.168113
0.00125635,-0.0217701,0.168113
0.00125698,-0.0217701,0.168113
0.00125761,-0.0250665,0.171756
0.00125824,-0.0316593,0.168113
0.00125887,-0.0283629,0.168113
0.0012595,-0.0316593,0.171756
0.00126013,-0.0283629,0.168113
0.00126076,-0.0250665,0.175399
0.00126139,-0.0250665,0.171756
0.00126202,-0.0250665,0.168113
0.00126265,-0.0217701,0.164469
0.00126328,-0.0217701,0.164469
0.00126391,-0.0250665,0.164469
0.00126454,-0.0250665,0.168113
0.00126517,-0.0283629,0.168113
0.0012658,-0.0316593,0.168113
0.00126643,-0.0283629,0.168113
0.00126706,-0.0250665,0.168113
0.00126769,-0.0250665,0.168113
0.00126832,-0.0250665,0.171756
0.00126895,-0.0250665,0.171756
0.00126958,-0.0217701,0.168113
0.00127021,-0.0250665,0.171756
0.00127084,-0.0283629,0.171756
0.00127147,-0.0250665,0.168113
0.0012721,-0.0250665,0.168113
0.00127273,-0.0217701,0.171756
0.00127336,-0.0217701,0.175399
0.00127399,-0.0283629,0.168113
0.00127462,-0.0250665,0.168113
0.00127525,-0.0250665,0.164469
0.00127588,-0.0283629,0.164469
0.00127651,-0.0250665,0.168113
0.00127714,-0.0217701,0.164469
0.00127777,-0.0184737,0.164469
0.0012784,-0.0151773,0.168113
0.00127903,-0.0217701,0.168113
0.00127966,-0.0250665,0.168113
0.00128029,-0.0250665,0.168113
0.00128092,-0.0217701,0.168113
0.00128155,-0.0184737,0.168113
0.00128218,-0.0217701,0.168113
0.00128281,-0.0184737,0.168113
0.00128344,-0.0151773,0.168113
0.00128407,-0.0151773,0.168113
0.0012847,-0.0184737,0.171756
0.00128533,-0.0217701,0.168113
0.00128596,-0.0217701,0.171756
0.00128659,-0.0217701,0.168113
0.00128722,-0.0250665,0.168113
0.00128785,-0.0250665,0.168113
0.00128848,-0.0217701,0.171756
0.00128911,-0.0217701,0.168113
0.00128974,-0.0217701,0.168113
0.00129037,-0.0250665,0.171756
0.001291,-0.0217701,0.168113
0.00129163,-0.0184737,0.168113
0.00129226,-0.0151773,0.171756
0.00129289,-0.0217701,0.171756
0.00129352,-0.0184737,0.175399
0.00129415,-0.0151773,0.168113
0.00129478,-0.0184737,0.171756
0.00129541,-0.0217701,0.175399
0.00129604,-0.0250665,0.171756
0.00129667,-0.0217701,0.168113
0.0012973,-0.0217701,0.164469
0.00129793,-0.0184737,0.168113
0.00129856,-0.0250665,0.171756
0.00129919,-0.0283629,0.171756
0.00129982,-0.0217701,0.168113
0.00130045,-0.0184737,0.168113
0.00130108,-0.0217701,0.171756
0.00130171,-0.0250665,0.168113
0.00130234,-0.0184737,0.171756
0.00130297,-0.0217701,0.171756
0.0013036,-0.0217701,0.171756
0.00130423,-0.0217701,0.168113
0.00130486,-0.0217701,0.164469
0.00130549,-0.0184737,0.171756
0.00130612,-0.0184737,0.168113
